iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.27422,-0.006454,0.29237,0.006558,0.713725,0.091169,-0.020909,-0.355527,0.173883,-1.013557,1.065429,4.0,0.0003,0,687,0.28153,0.35407,0.0,nan,0,0.0,0.0,,,-0.01,0.00454,-0.00973,-0.01877,0.0,-0.00974,0.0
2,2048,nan,nan,0.0,0.0,2.217537,-0.004291,0.091996,0.003148,0.719057,0.03397,0.673004,-0.978459,0.85258,-1.510387,1.745103,4.0,0.00029988,0,714,0.26213,0.33357,0.0,nan,0,0.0,0.0,,,-0.01,0.00487,-0.00969,-0.01806,-0.00035,-0.00076,0.0
3,3072,-13.56341,375.0,0.0,0.0,1.880069,-0.004272,0.070646,0.004506,0.60567,0.059849,0.877357,-1.338182,1.79336,-1.823433,2.328341,4.0,0.00029975,8,719,0.2454,0.31535,1.0,nan,0,0.25,1.0,,,-0.01,0.00492,-0.00883,-0.01313,-0.00803,-0.00563,0.0
4,4096,nan,nan,0.0,0.0,2.21824,-0.004019,0.049755,0.004195,0.482804,0.045306,0.889814,-1.99969,2.169475,-2.488718,2.926312,4.0,0.00029963,0,701,0.33244,0.40707,1.0,nan,0,0.0,0.0,,,-0.01,0.00899,-0.00983,-0.01819,-0.00117,-0.00676,0.0
5,5120,-10.81579,227.0,0.0,0.0,1.302913,-0.004103,0.073252,0.004315,0.346448,0.075614,0.89985,-2.211453,2.890775,-2.58522,2.953556,4.0,0.00029951,5,710,0.3084,0.38412,0.61538,nan,0,1.0,1.0,,,-0.01,0.00845,-0.00981,-0.01298,-0.0223,-0.00469,-0.01621
6,6144,-9.58071,245.6,0.0,0.0,1.645649,-0.002905,0.069225,0.003418,0.291526,0.042027,0.885399,-2.7642,2.680248,-3.150774,2.932401,4.0,0.00029939,5,761,0.31685,0.38393,0.44444,nan,0,1.0,1.0,,,-0.01,0.00907,-0.00567,-0.01635,-0.01352,-0.00404,-0.01272
7,7168,-7.53349,196.4,0.0,0.0,1.115468,-0.002604,0.044049,0.002698,0.25939,0.040074,0.894042,-3.389014,2.523664,-3.552335,2.531101,4.0,0.00029926,5,865,0.28639,0.34881,0.34783,nan,0,1.0,1.0,,,-0.01,0.00838,-0.00661,-0.01023,-0.0189,-0.0056,-0.01836
8,8192,-6.58087,184.4,0.0,0.0,1.359239,-0.002455,0.041282,0.003317,0.280844,0.028146,0.911181,-3.443667,2.522671,-3.682278,2.728595,4.0,0.00029914,5,801,0.27784,0.33445,0.32143,nan,0,1.0,1.0,,,-0.01,0.00791,-0.00377,-0.0195,-0.01473,-0.00674,-0.01174
9,9216,-7.05928,185.0,0.0,0.0,1.208602,-0.004866,0.039206,0.003534,0.301924,0.050607,0.919948,-3.282594,2.625974,-3.560609,2.896807,4.0,0.00029902,4,858,0.27472,0.32787,0.3125,nan,0,1.0,1.0,,,-0.01,0.00798,-0.00575,-0.02017,-0.01585,-0.00875,-0.0097
10,10240,-8.42535,252.42857,0.0,0.0,1.283461,-0.004245,0.036557,0.004142,0.26332,0.060059,0.93002,-3.651743,2.849299,-3.771566,3.064773,4.0,0.00029889,7,819,0.28634,0.34168,0.30769,nan,0,0.71429,1.0,,,-0.01,0.00799,-0.00241,-0.01971,-0.01188,-0.01057,-0.01537
11,11264,-7.54885,142.28571,0.0,0.0,1.394288,-0.004329,0.037357,0.003731,0.334189,0.054199,0.921944,-3.679826,2.934643,-3.692021,2.896945,4.0,0.00029877,7,776,0.23333,0.28978,0.26087,nan,0,1.0,1.0,,,-0.01,0.01127,-0.00274,-0.01585,-0.02576,-0.00759,-0.02004
12,12288,29.69694,140.66667,0.5,0.05769,1.371368,-0.001237,3.28789,0.002588,2.324642,0.043039,0.094907,-3.823301,2.778477,0.035769,12.233932,4.0,0.00029865,6,797,0.24662,0.30127,0.23077,0.33333,3,0.66667,0.85714,,,-0.01,0.01273,-0.00184,-0.01624,-0.01866,-0.00645,0.29085
13,13312,8.21827,129.2,0.2,0.08065,1.570838,-0.000967,1.23013,0.00132,1.289009,0.010428,0.322534,-0.812712,4.664349,1.342238,10.840688,4.0,0.00029853,10,666,0.22963,0.29518,0.19355,0.2,5,0.8,1.0,,,-0.01,0.01236,-0.00135,-0.01428,-0.0183,-0.01329,0.15552
14,14336,18.39212,115.5,0.33333,0.10294,1.427451,-0.001622,0.956856,0.00225,1.192586,0.029192,0.374388,0.942447,6.515243,3.775049,11.232681,4.0,0.0002984,6,770,0.22864,0.29714,0.17647,0.14286,7,0.66667,1.0,,,-0.01,0.01502,-0.0021,-0.01363,-0.01731,-0.01483,0.18155
15,15360,38.08871,131.0,0.6,0.16667,1.341374,-0.001929,1.136297,0.003444,1.50462,0.030308,0.39999,3.978727,7.185845,9.018237,15.765888,4.0,0.00029828,10,774,0.24173,0.30247,0.15385,0.07692,13,0.6,1.0,,,-0.01,0.0147,-0.00172,-0.01679,-0.01213,-0.01705,0.57886
16,16384,53.86075,147.71429,0.85714,0.22353,1.443592,-0.001926,0.457483,0.002699,0.882124,0.036586,0.665016,12.424925,12.257121,19.947836,17.186672,4.0,0.00029816,7,768,0.22439,0.28324,0.14118,0.05263,19,0.57143,1.0,,,-0.01,0.01608,-0.00233,-0.01798,-0.01079,-0.00708,0.53893
17,17408,58.73324,126.0,0.875,0.27957,1.557801,-0.001198,0.2755,0.003024,0.825177,0.022077,0.718427,18.132154,13.491323,25.62446,17.929907,4.0,0.00029803,8,754,0.20464,0.26774,0.12903,0.03846,26,0.25,1.0,,,-0.01,0.0163,-0.00166,-0.01532,-0.00827,-0.01174,0.5967
18,18432,52.03138,104.11111,0.77778,0.33,1.452776,-0.003078,0.211427,0.005745,0.387507,0.077288,0.688283,27.276899,15.560354,33.225163,17.523157,4.0,0.00029791,9,754,0.21288,0.2707,0.1,0.0303,33,0.33333,1.0,,,-0.01,0.01764,-0.00128,-0.01682,-0.00954,-0.00937,0.61891
19,19456,68.93364,111.63636,1.0,0.44,1.478622,-0.00449,0.080079,0.005654,0.380449,0.061105,0.800306,34.856842,14.83259,42.826229,15.542348,4.0,0.00029779,11,740,0.19394,0.25507,0.04,0.02273,44,0.09091,1.0,,,-0.01,0.01815,-0.00078,-0.01393,-0.007,-0.01008,0.93106
20,20480,56.80266,96.5,0.83333,0.49,1.342502,-0.003531,0.089617,0.004954,0.520127,0.060442,0.681668,39.196568,13.155296,42.063843,14.455908,4.0,0.00029767,6,763,0.22787,0.28251,0.04,0.02041,49,0.33333,1.0,,,-0.01,0.01592,-0.00138,-0.01653,-0.01538,-0.03221,0.45285
21,21504,62.45396,92.7,0.9,0.58,1.227256,-0.002672,0.075376,0.002926,0.444037,0.038191,0.695986,43.55566,13.33659,46.888958,15.292523,4.0,0.00029754,10,743,0.23077,0.29442,0.02,0.01724,58,0.2,0.875,,,-0.01,0.01498,-0.00083,-0.01855,-0.00234,-0.03296,0.88335
